22|</s> 25 -4.2114163
22|</s> 26 -4.2114163
23|</s> 2 -1.040431
23|</s> 3 -1.2187974
23|</s> 10 -1.3940039
23|</s> 11 -1.6788305
23|</s> 21 -1.9870531
23|</s> 22 -2.4669153
23|</s> 9 -2.4950336
23|</s> 20 -2.5547719
23|</s> 5 -2.699147
23|</s> 1 -2.752182
23|</s> 14 -2.9140207
23|</s> 17 -2.9891546
23|</s> 6 -3.0416051
23|</s> 15 -3.0422211
23|</s> 19 -3.0640631
23|</s> 24 -3.1675878
23|</s> 4 -3.2641072
23|</s> 7 -3.457916
23|</s> 13 -3.4580911
23|</s> 8 -3.4580925
23|</s> 16 -3.4581073
23|</s> 23 -3.4591005
23|</s> 18 -3.4945472
23|</s> 12 -4.1515485
23|</s> 27 -4.265775
23|</s> 25 -4.5212712
23|</s> 26 -4.5212712
1|</s> 2 -0.9277389
1|</s> 20 -1.3947689
1|</s> 10 -1.5547549
1|</s> 3 -1.6311793
1|</s> 6 -1.6503021
1|</s> 9 -2.2714992
1|</s> 5 -2.5019116
1|</s> 7 -2.757994
1|</s> 1 -2.8788026
1|</s> 15 -3.0732021
1|</s> 21 -3.1898981
1|</s> 19 -3.2633977
1|</s> 8 -3.2817025
1|</s> 16 -3.2910483
1|</s> 11 -3.4615895
1|</s> 22 -3.8380403
1|</s> 4 -3.9653038
1|</s> 14 -4.2540733
1|</s> 17 -4.2541472
1|</s> 13 -4.2543621
1|</s> 24 -4.2543834
1|</s> 18 -4.2551698
1|</s> 23 -4.2553715
1|</s> 12 -4.2781691
1|</s> 27 -4.3923956
1|</s> 26 -4.6478918
1|</s> 25 -4.6478918
3|</s> 9 -1.3883402
3|</s> 20 -1.5533129
3|</s> 11 -1.7661105
3|</s> 10 -1.7829679
3|</s> 24 -1.8096934
3|</s> 6 -1.8121031
3|</s> 17 -1.9046442
3|</s> 1 -1.9239836
3|</s> 4 -1.9274538
3|</s> 19 -1.9843777
3|</s> 16 -2.0127353
3|</s> 13 -2.0305721
3|</s> 14 -2.1159643
3|</s> 5 -2.1561026
3|</s> 22 -2.2115503
3|</s> 21 -2.2245221
3|</s> 2 -2.2263352
3|</s> 8 -2.2774705
3|</s> 7 -2.433008
3|</s> 15 -2.5862951
3|</s> 18 -2.8104378
3|</s> 27 -2.8638666
3|</s> 23 -2.8650455
3|</s> 3 -2.9727233
3|</s> 26 -3.2672318
3|</s> 25 -4.2093678
3|</s> 12 -4.8441991
2|</s> 3 -1.0799634
2|</s> 5 -1.5124786
2|</s> 21 -1.6971811
2|</s> 11 -1.7064495
2|</s> 14 -1.7821873
2|</s> 20 -1.9339619
2|</s> 22 -2.1090713
2|</s> 9 -2.1382592
2|</s> 2 -2.1589762
2|</s> 17 -2.1811212
2|</s> 19 -2.2992637
2|</s> 15 -2.4263421
2|</s> 18 -2.4420208
2|</s> 24 -2.4674204
2|</s> 12 -2.5129661
2|</s> 10 -2.5434609
2|</s> 13 -2.5637011
2|</s> 8 -2.6700625
2|</s> 16 -2.7154033
2|</s> 6 -2.7763721
2|</s> 23 -3.1849875
2|</s> 7 -3.244006
2|</s> 1 -3.2773216
2|</s> 26 -3.4123478
2|</s> 4 -3.4462268
2|</s> 27 -3.4830458
2|</s> 25 -3.7393778
5|</s> 2 -1.2500253
5|</s> 3 -1.3335033
5|</s> 6 -1.6061831
5|</s> 10 -1.6520549
5|</s> 11 -1.7232155
5|</s> 20 -1.7334829
5|</s> 9 -1.9018532
5|</s> 15 -2.2506671
5|</s> 21 -2.2783581
5|</s> 14 -2.2934043
5|</s> 7 -2.349946
5|</s> 23 -2.4261125
5|</s> 8 -2.4460635
5|</s> 5 -2.4790866
5|</s> 19 -2.5032357
5|</s> 22 -2.5550203
5|</s> 17 -2.5691752
5|</s> 18 -2.7430868
5|</s> 13 -2.8930971
5|</s> 16 -3.1808023
5|</s> 12 -3.26409296
5|</s> 1 -3.3161186
5|</s> 27 -3.37831946
5|</s> 26 -3.63381566
5|</s> 25 -3.63381566
5|</s> 4 -3.8915788
5|</s> 24 -4.0181334
4|</s> 2 -1.1293079
4|</s> 7 -1.437529
4|</s> 22 -1.5367443
4|</s> 6 -1.5880671
4|</s> 20 -1.6341559
4|</s> 5 -1.8029236
4|</s> 15 -1.8217881
4|</s> 10 -1.9032799
4|</s> 11 -2.5612935
4|</s> 21 -2.6376787
4|</s> 4 -2.6792488
4|</s> 3 -2.7515963
4|</s> 1 -2.7523792
4|</s> 14 -2.9142179
4|</s> 9 -3.0988282
4|</s> 18 -3.1001668
4|</s> 27 -3.1073916
4|</s> 13 -3.1543997
4|</s> 8 -3.1552791
4|</s> 16 -3.1646249
4|</s> 17 -3.4535742
4|</s> 19 -3.4536617
4|</s> 23 -3.5500711
4|</s> 24 -3.7430654
4|</s> 12 -4.1517457
4|</s> 26 -4.5214684
4|</s> 25 -4.5214684
7|</s> 9 -1.4449822
7|</s> 11 -1.4542075
7|</s> 5 -1.4879526
7|</s> 21 -1.5614051
7|</s> 22 -1.6357383
7|</s> 13 -1.7858061
7|</s> 17 -1.8856782
7|</s> 19 -1.9835347
7|</s> 8 -2.0161795
7|</s> 2 -2.0417032
7|</s> 3 -2.0990743
7|</s> 10 -2.1774629
7|</s> 20 -2.2158419
7|</s> 4 -2.2736718
7|</s> 14 -2.4165713
7|</s> 6 -2.6296086
7|</s> 1 -2.8072951
7|</s> 7 -3.0799455
7|</s> 16 -3.1896673
7|</s> 24 -3.2227009
7|</s> 18 -3.5496603
7|</s> 15 -3.5660791
7|</s> 23 -3.6937025
7|</s> 12 -3.6987261
7|</s> 25 -3.7075798
7|</s> 27 -4.3208881
7|</s> 26 -4.5763843
6|</s> 21 -1.4073981
6|</s> 3 -1.4276593
6|</s> 5 -1.5055496
6|</s> 7 -1.606337
6|</s> 16 -1.6870063
6|</s> 19 -1.8302197
6|</s> 9 -1.9279722
6|</s> 22 -2.0056613
6|</s> 11 -2.0143895
6|</s> 24 -2.0148864
6|</s> 6 -2.1146831
6|</s> 13 -2.2720511
6|</s> 14 -2.3680643
6|</s> 18 -2.3691608
6|</s> 17 -2.4180702
6|</s> 10 -2.5810439
6|</s> 23 -2.6289645
6|</s> 4 -2.7236828
6|</s> 20 -2.7546389
6|</s> 8 -2.8461395
6|</s> 15 -3.0824991
6|</s> 2 -3.1578662
6|</s> 12 -3.2567171
6|</s> 26 -3.5184616
6|</s> 1 -3.7878636
6|</s> 27 -4.0240076
6|</s> 25 -4.4468458
9|</s> 1 -1.1232389
9|</s> 3 -1.2761948
9|</s> 6 -1.5335071
9|</s> 2 -1.5999172
9|</s> 10 -1.6948929
9|</s> 20 -1.9836219
9|</s> 11 -2.0593925
9|</s> 5 -2.1247896
9|</s> 9 -2.3964392
9|</s> 7 -2.4613
9|</s> 15 -2.5054581
9|</s> 24 -2.7734354
9|</s> 17 -2.8685052
9|</s> 22 -2.9459653
9|</s> 21 -3.1018691
9|</s> 14 -3.3784083
9|</s> 19 -3.3846827
9|</s> 8 -3.6194695
9|</s> 23 -4.0142615
9|</s> 13 -4.2221361
9|</s> 4 -4.2223318
9|</s> 18 -4.2229438
9|</s> 25 -4.2370228
9|</s> 16 -4.5114073
9|</s> 12 -4.6159361
9|</s> 27 -4.7301626
9|</s> 26 -4.9856588
8|</s> 3 -1.0857384
8|</s> 2 -1.3862092
8|</s> 1 -1.6653706
8|</s> 5 -1.7310586
8|</s> 6 -1.7616171
8|</s> 20 -1.8228359
8|</s> 10 -1.9028429
8|</s> 11 -2.0726145
8|</s> 7 -2.113723
8|</s> 22 -2.2864493
8|</s> 21 -2.3552091
8|</s> 8 -2.5023015
8|</s> 14 -2.8191856
8|</s> 17 -2.8943195
8|</s> 9 -3.0590472
8|</s> 13 -3.0593674
8|</s> 16 -3.0695926
8|</s> 4 -3.1692721
8|</s> 15 -3.2083051
8|</s> 18 -3.3997121
8|</s> 23 -3.4550388
8|</s> 19 -3.8517477
8|</s> 24 -3.8518964
8|</s> 12 -4.0567134
8|</s> 27 -4.1709399
8|</s> 26 -4.4264361
8|</s> 25 -4.4264361
START|</s> 9 -0.8803967
START|</s> 20 -1.2407746
START|</s> 4 -1.2991179
START|</s> 10 -1.3370989
START|</s> 1 -1.4794046
START|</s> 11 -1.5287995
START|</s> 24 -1.7411284
START|</s> 19 -1.7583877
START|</s> 13 -1.8153651
START|</s> 16 -1.9050093
START|</s> 15 -1.9870311
START|</s> 2 -2.1270932
