2	25288 11763
4	11123 21471
2	19296 358
2	19296 22661
3	7675 24581
2	8799 10149
2	8799 13688
7	8799 23208
24	14208 7244
2	14208 5952
3	22844 358
2	22768 359
2	22768 358
2	8902 25032
2	8902 555
2	11101 6126
2	11389 25263
3	11389 358
4	24526 25501
13	24526 17824
4	24526 25032
5	11073 10268
3	11073 358
4	11913 25181
4	11913 25182
2	11913 25231
2	11913 18090
5	9171 13764
3	17779 17957
2	22384 23669
17	22384 15620
9	22384 10700
6	22384 358
7	22384 359
2	22384 11763
2	22384 11924
2	22384 6126
4	22384 555
2	5968 6365
4	7276 6468
33	7276 13604
9	7276 23770
7	7276 23710
3	7276 23698
17	7276 23725
3	7276 13076
3	7276 18171
5	7276 13608
23	7276 25032
9	7276 14206
31	7276 17957
2	7276 13764
6	7276 14209
3	7276 16365
2	7276 23728
20	7276 25501
16	7276 23684
7	18579 23930
2	18579 25181
6	18579 358
7	18579 359
2	18579 13764
5	18579 11924
2	18579 18090
2	16764 8089
2	9631 358
3	19010 7983
2	19010 13764
2	13465 6468
8	13465 358
2	13465 359
8	13465 6126
2	13465 13764
2	13465 18013
2	13465 6365
3	8262 17957
2	22963 358
3	16942 13736
6	16942 18529
16	16942 25089
4	16942 21458
20	16942 17957
16	16942 13735
5	16942 19126
9	25034 12278
8	25034 7244
2	25034 22886
2	25034 25391
10	25034 8756
2	25034 15486
4	25034 12311
6	25034 13001
2	25034 24870
6	25034 10268
2	25034 14635
3	25034 11574
4	25034 21382
4	25034 23316
2	25034 837
2	25034 8408
3	25034 21313
4	25034 12133
4	25034 24232
3	7973 358
4	15889 358
3	15889 12534
4	18675 24537
2	10766 6216
2	22149 6586
2	22149 13764
2	22149 25777
2	16408 11763
3	18254 18345
5	18254 17957
2	18254 10284
4	5952 25325
2	5952 14156
2	5952 7244
2	5952 822
10	5952 23669
3	5952 6586
2	5952 13190
5	5952 13604
2	5952 9900
5	5952 23770
2	5952 10486
2	5952 15198
6	5952 25228
17	5952 358
2	5952 359
3	5952 18171
7	5952 25517
5	5952 25032
3	5952 6126
3	5952 24331
32	5952 17957
2	5952 13764
15	5952 23724
2	5952 23345
2	5952 12341
2	5952 19925
2	5952 15494
2	5952 25501
79	5952 23684
2	22589 13764
2	9345 6126
3	15130 13268
3	14156 7675
5	14156 22384
2	14156 7276
2	14156 16764
2	14156 21413
4	14156 5952
2	14156 8411
45	14156 17788
9	14156 25130
5	14156 25277
5	14156 25518
2	14156 7280
4	14156 11578
2	14156 16401
2	14156 24560
3	14156 18196
2	14156 20088
2	14156 19940
26	14156 23669
3	14156 17824
2	14156 10369
3	14156 858
4	14156 6586
11	14156 7403
3	14156 14684
2	14156 10027
2	14156 17069
3	14156 19934
3	14156 22268
2	14156 25161
12	14156 23930
3	14156 13190
2	14156 15620
5	14156 10824
2	14156 22675
98	14156 361
5	14156 24392
2	14156 7541
5	14156 6006
2	14156 6867
4	14156 13928
5	14156 16922
27	14156 23770
2	14156 15681
2	14156 12915
79	14156 23710
5	14156 22327
2	14156 22377
2	14156 23698
2	14156 24322
2	14156 19833
2	14156 7817
4	14156 11639
7	14156 17795
25	14156 358
14	14156 359
3	14156 20447
2	14156 25089
3	14156 23059
30	14156 17730
14	14156 24706
11	14156 13076
7	14156 25203
6	14156 18032
3	14156 18171
17	14156 6106
4	14156 11471
2	14156 10274
10	14156 23323
2	14156 8976
2	14156 10632
3	14156 14635
5	14156 12331
37	14156 25517
8	14156 18017
5	14156 14225
14	14156 17991
2	14156 15519
3	14156 17565
2	14156 21458
4	14156 22025
2	14156 782
2	14156 18796
2	14156 10799
2	14156 18967
4	14156 24537
12	14156 11763
4	14156 11924
5	14156 17995
2	14156 18928
4	14156 6705
62	14156 14206
2	14156 24571
3	14156 555
3	14156 24594
39	14156 13764
4	14156 11069
13	14156 17284
2	14156 10323
2	14156 22716
18	14156 12341
2	14156 22154
2	14156 19925
7	14156 13735
2	14156 9493
2	14156 8165
3	14156 18013
3	14156 8763
3	14156 11956
7	14156 6022
2	14156 10575
2	14156 15132
2	14156 25369
7	14156 7518
2	14156 15709
2	14156 25398
5	14156 16687
3	14156 25501
3	14156 8579
140	14156 23684
2	14156 8993
2	14156 8592
3	8411 18013
2	20275 25501
8	20275 23930
3	21471 18196
2	21471 13190
2	21471 13001
9	21471 358
8	21471 359
3	21471 19127
7	21471 6126
7	21471 13764
8	21471 6365
2	11642 23701
11	11642 14206
5	11642 23684
13	25391 10366
2	25391 23701
2	25391 5952
5	25391 23930
14	25391 361
2	25391 18017
5	25391 14206
2	25391 14209
7	25391 23684
7	18101 23930
4	18101 11763
3	13872 23669
2	13872 7983
3	13872 22327
11	13872 358
2	13872 359
2	13872 25306
2	13872 11924
7	13872 555
2	13872 18013
3	13872 25504
5	13872 25501
2	11387 14156
2	11387 25277
11	8353 23684
2	15202 17957
2	8521 9870
9	8758 23930
2	8758 18016
2	8758 11763
3	8758 6126
3	8758 11924
3	8758 18176
2	13432 10726
2	6893 24467
3	6893 358
2	11826 15139
3	11826 21447
2	19527 20088
6	19527 358
4	19527 359
2	19527 10268
3	19527 11763
2	19527 6126
3	19527 555
3	19527 25501
2	18728 25501
2	18728 358
2	18728 6126
2	18252 17957
2	8848 23955
8	16010 23064
7	16010 361
2	16010 359
2	16010 6106
4	16010 6216
2	16010 24581
5	16010 14206
5	16010 24585
2	16010 25501
3	16010 23684
2	7776 6126
2	25339 358
2	7244 5952
2	7244 6468
4	7244 21175
8	7244 25100
32	7244 25277
8	7244 11578
2	7244 21319
2	7244 15762
6	7244 15713
3	7244 23669
2	7244 19027
4	7244 6586
15	7244 7403
2	7244 11467
4	7244 13190
7	7244 12422
4	7244 10824
30	7244 361
2	7244 16785
2	7244 13928
10	7244 16922
2	7244 14004
3	7244 23710
6	7244 24322
2	7244 12817
2	7244 17795
2	7244 358
6	7244 359
6	7244 12433
2	7244 13149
3	7244 24706
2	7244 13380
5	7244 25332
3	7244 6106
2	7244 10952
3	7244 15144
4	7244 24586
2	7244 13090
12	7244 17991
2	7244 18967
3	7244 8760
2	7244 15388
2	7244 18017
2	7244 11644
4	7244 11763
2	7244 591
2	7244 20212
2	7244 23043
2	7244 12279
2	7244 6705
2	7244 19135
3	7244 11873
2	7244 6733
25	7244 13764
9	7244 17284
2	7244 6419
3	7244 6004
4	7244 10323
8	7244 12341
2	7244 11284
14	7244 19925
3	7244 8629
6	7244 18013
15	7244 545
6	7244 8763
6	7244 6550
3	7244 10575
2	7244 9763
4	7244 6270
2	7244 25398
2	7244 25501
2	7244 14868
9	7244 23684
2	7244 8993
3	7244 9238
2	21279 11701
6	21279 23745
2	6468 6468
2	6468 25502
59	6468 25100
2	6468 22740
7	6468 17069
3	6468 23930
57	6468 361
14	6468 13604
7	6468 10726
2	6468 23725
2	6468 13076
14	6468 6106
2	6468 24598
2	6468 25517
11	6468 22401
27	6468 11763
2	6468 13608
9	6468 25032
3	6468 13653
2	6468 13764
2	6468 17284
4	6468 15730
12	6468 11284
6	6468 25504
4	6468 25035
54	6468 25501
13	6468 23684
3	11168 25117
2	11168 358
5	10149 358
3	10149 359
2	10149 17957
5	22974 11763
6	22974 23882
9	18467 359
5	18467 16905
2	18467 11763
4	18467 25501
2	22631 24537
4	22981 25501
2	24997 19296
11	24997 14156
13	24997 19300
2	24997 25277
2	24997 10287
7	24997 22428
2	24997 18026
2	24997 13604
2	24997 10669
14	24997 358
13	24997 359
4	24997 23383
2	24997 11763
13	24997 6126
3	24997 13764
2	24997 18090
2	24997 18013
2	24997 23684
2	24914 17957
2	24914 359
2	21265 359
2	10331 6126
6	23704 25034
4	23704 25130
2	23704 25151
14	23704 13604
2	23704 12311
2	23704 25181
4	23704 23770
2	23704 358
5	23704 359
4	23704 23725
5	23704 13076
5	23704 25203
5	23704 13607
11	23704 25032
2	23704 6126
2	23704 13653
6	23704 14206
2	23704 13764
2	23704 14209
4	23704 25501
7	23704 23684
3	18345 358
3	18345 6126
6	18345 6365
9	23701 6365
10	23701 5952
9	23701 14156
4	23701 6468
9	23701 10366
3	23701 25151
25	23701 25277
6	23701 23799
3	23701 18196
3	23701 23669
5	23701 17824
2	23701 7276
2	23701 11586
4	23701 24957
4	23701 6586
28	23701 23930
2	23701 25117
2	23701 13190
9	23701 7983
6	23701 13604
9	23701 361
3	23701 13001
4	23701 25327
5	23701 23710
5	23701 22327
2	23701 22377
2	23701 25228
93	23701 358
4	23701 10268
81	23701 359
12	23701 23725
5	23701 25203
2	23701 18032
3	23701 13607
2	23701 14635
2	23701 13471
11	23701 24537
16	23701 11763
4	23701 6849
6	23701 25032
34	23701 6126
6	23701 11924
5	23701 555
15	23701 13764
2	23701 10012
7	23701 18176
2	23701 24073
10	23701 18090
6	23701 12082
7	23701 18013
3	23701 7306
2	23701 23955
2	23701 12322
11	23701 25501
2	23701 12934
6	23701 25325
3	18781 358
4	22140 10366
2	22140 25277
2	19645 6126
4	13958 17957
3	15129 16401
2	15129 24581
14	17788 5952
12	17788 7244
3	17788 22974
8	17788 17788
3	17788 7982
2	17788 25277
4	17788 19316
4	17788 10967
2	17788 23967
2	17788 16401
12	17788 23669
2	17788 8756
4	17788 17069
3	17788 19934
7	17788 23930
2	17788 17208
3	17788 15620
22	17788 10824
20	17788 361
8	17788 13001
2	17788 16922
3	17788 12139
2	17788 23770
3	17788 23710
2	17788 22327
3	17788 15545
6	17788 15198
2	17788 16150
10	17788 358
3	17788 25489
35	17788 359
6	17788 25332
3	17788 24706
2	17788 5982
2	17788 25203
4	17788 18032
2	17788 11165
2	17788 780
11	17788 14635
5	17788 12331
4	17788 11763
5	17788 11924
7	17788 6705
2	17788 14206
2	17788 13764
6	17788 11086
8	17788 12341
3	17788 6022
9	17788 12133
2	17788 10575
4	17788 25501
5	17788 23684
2	17788 8592
3	17788 25325
2	18445 25277
8	18445 358
2	24674 358
2	22293 358
4	7371 358
3	7371 11924
4	7371 23684
3	21299 359
2	16784 14206
2	13004 23770
2	13004 23684
2	10366 6586
2	10366 18026
2	10366 23710
7	10366 358
2	10366 23725
5	10366 359
2	10366 25517
2	10366 11763
2	10366 6126
3	10366 23724
3	10366 18090
14	10366 23684
2	21175 23930
2	21175 6126
2	20168 8939
5	10569 358
6	23977 23669
3	23977 25032
13	15550 16401
8	15550 24581
3	15550 13268
2	15550 25501
2	22900 358
2	7621 6374
4	7621 359
3	24467 358
2	18732 358
2	10772 358
13	10772 17957
2	10772 25501
2	15139 6733
13	613 23930
2	13350 11174
7	7982 25277
20	25502 15620
2	25502 21118
4	9311 18207
3	9376 14544
10	8373 358
4	8373 359
5	8373 6126
14	8373 17957
2	10082 359
2	10082 358
2	25100 7276
2	25100 16942
4	25100 14156
12	25100 6468
6	25100 23704
3	25100 17788
3	25100 15550
35	25100 25130
8	25100 25151
10	25100 10011
7	25100 25155
7	25100 16071
2	25100 22387
4	25100 10287
3	25100 13611
2	25100 17824
2	25100 11619
3	25100 23930
7	25100 7983
3	25100 10824
41	25100 13604
3	25100 25181
13	25100 13001
5	25100 23770
9	25100 22122
2	25100 23710
2	25100 23698
37	25100 10268
49	25100 358
3	25100 15857
7	25100 359
4	25100 23725
6	25100 23565
4	25100 17730
2	25100 13076
10	25100 25203
2	25100 18171
4	25100 13607
23	25100 13471
4	25100 17991
2	25100 9193
4	25100 11763
4	25100 13608
2	25100 15737
21	25100 25032
15	25100 6126
11	25100 13653
5	25100 8089
2	25100 9640
5	25100 14206
2	25100 555
8	25100 13764
5	25100 10012
5	25100 14209
3	25100 6419
3	25100 18090
3	25100 10316
2	25100 18013
2	25100 25504
5	25100 25486
2	25100 16365
5	25100 12322
16	25100 25501
10	25100 23684
2	25100 11752
12	25100 6365
11	12278 23701
44	12278 16401
5	12278 10547
5	12278 361
2	12278 24079
4	12278 18017
16	12278 24581
8	12278 14206
3	12278 13894
2	12278 7549
14	12278 13268
37	12278 25501
5	18903 19644
2	19939 359
2	1395 10229
11	19300 358
2	19300 359
2	16074 23930
2	10831 23669
2	22649 358
2	23763 13839
2	25130 25325
87	25130 14156
2	25130 16010
7	25130 25130
12	25130 18153
7	25130 12873
35	25130 10011
6	25130 10287
11	25130 24957
3	25130 25117
11	25130 23930
10	25130 24330
11	25130 13604
7	25130 13001
13	25130 10700
11	25130 25228
2	25130 6024
75	25130 10268
2	25130 22790
12	25130 359
5	25130 23725
2	25130 12876
9	25130 21920
2	25130 13688
5	25130 13076
17	25130 15144
2	25130 8264
2	25130 9193
3	25130 13079
15	25130 25032
2	25130 24331
37	25130 13653
9	25130 23882
19	25130 8089
95	25130 555
4	25130 14206
2	25130 13295
2	25130 19130
33	25130 25365
2	25130 23208
2	25130 21902
2	25130 15151
16	25130 25501
2	25130 21427
2	25130 12934
8	25130 23684
2	25130 22750
81	25130 6365
2	13751 358
14	25151 10011
11	25151 24957
2	25151 22380
5	25151 361
11	25151 13604
2	25151 23770
3	25151 9634
12	25151 25228
10	25151 23725
5	25151 13076
17	25151 25032
4	25151 8089
9	25151 14206
3	25151 25365
3	25151 25504
28	25151 25501
12	25151 23684
13	25151 6365
2	17609 13076
2	24076 359
2	24076 358
2	20166 18013
3	10622 6126
4	24093 6106
5	24093 13268
2	19079 10149
6	19079 13688
4	19079 11071
2	17958 7983
6	17958 358
2	17958 6126
2	17958 11763
2	17958 25501
4	9875 358
5	9875 10390
5	25277 5952
4	25277 24997
26	25277 23701
3	25277 18445
5	25277 18153
58	25277 16401
6	25277 6355
6	25277 23669
2	25277 18800
2	25277 9943
7	25277 11619
4	25277 22380
4	25277 6354
25	25277 361
2	25277 25181
23	25277 23770
4	25277 24079
2	25277 6172
3	25277 23698
2	25277 24322
19	25277 18529
11	25277 358
3	25277 6574
7	25277 359
3	25277 17730
6	25277 18171
2	25277 6106
2	25277 6216
5	25277 23783
10	25277 25517
3	25277 18017
3	25277 10016
67	25277 24581
3	25277 17995
9	25277 14206
3	25277 25048
3	25277 23724
2	25277 18856
12	25277 17284
10	25277 13967
2	25277 17755
2	25277 8202
8	25277 13268
94	25277 25501
110	25277 23684
2	25277 11752
5	25518 358
8	25518 359
2	25518 6126
2	17944 358
2	12478 25181
3	12478 358
2	12478 359
7	12478 17957
3	12478 13764
2	8265 24581
3	10725 359
3	18596 359
3	18596 358
5	18596 11763
8	18596 6126
5	11578 7983
2	11578 22327
13	11578 358
2	11578 10268
3	11578 23663
2	11578 25032
2	8939 6126
2	13737 359
2	13737 18026
2	21319 22377
2	13113 555
2	17715 358
4	17715 17711
2	8219 23967
4	8219 23669
2	8219 10268
8	8219 358
3	8219 359
2	8219 25032
2	8219 17957
3	8219 13764
3	8219 6126
2	8219 25501
2	8219 6365
2	20903 14156
2	20903 13604
2	20903 25228
5	20903 358
3	20903 359
3	15433 10366
2	23560 6126
2	24672 358
5	23064 7244
3	23064 25130
2	23064 23669
10	23064 13604
2	23064 23770
3	23064 23710
13	23064 358
2	23064 6126
5	23064 25032
7	23064 17957
2	23064 17284
3	23064 25501
4	23064 23684
2	11525 23789
2	11525 11525
5	11525 358
3	11525 22154
3	11525 18090
4	15762 18090
2	15762 358
7	18153 11073
3	18153 14156
4	18153 19527
2	18153 18445
2	18153 8219
5	18153 10801
7	18153 19530
4	18153 11619
2	18153 21205
4	18153 10802
4	18153 23514
27	18153 23655
6	18153 9608
2	18153 20560
12	18153 18529
3	18153 23745
13	18153 23747
3	18153 19127
3	18153 14544
5	18153 18017
2	18153 18967
2	18153 24331
14	18153 19130
6	18153 22153
3	18153 22851
2	18153 8813
3	18153 23890
2	18153 10876
2	18153 25501
2	18153 25325
2	6649 23930
3	19525 358
2	19525 555
11	24926 23930
2	24926 358
7	16891 358
3	16891 11763
2	16891 6126
2	16891 11924
12	23787 17957
4	23799 24997
3	23799 23930
5	23799 9618
2	23799 11843
2	23799 22327
4	23799 7178
13	23799 358
11	23799 16906
5	23799 25470
9	23799 13454
5	23799 25862
2	23799 16903
4	23799 11270
5	23799 17957
2	23799 7419
2	23799 18090
7	23799 13521
4	23799 23890
2	25815 7192
4	9907 11174
2	23967 17069
11	23967 358
2	12873 23669
6	12873 23930
3	12873 361
3	12873 358
3	12873 359
2	12873 17569
2	12873 25501
2	19316 24997
5	20241 23701
14	10011 17788
2	10011 361
2	10011 13604
9	10011 23770
4	10011 358
27	10011 23725
5	10011 13076
3	10011 6220
5	10011 25517
13	10011 14206
177	10011 25501
5	10011 23684
25	25155 14156
4	25155 10011
3	25155 10287
2	25155 25117
6	25155 13604
3	25155 25228
41	25155 10268
9	25155 23725
2	25155 13076
2	25155 18171
4	25155 25032
7	25155 14206
2	25155 11924
9	25155 8089
4	25155 10983
4	25155 25365
7	25155 25501
28	25155 23684
11	25155 6365
9	10967 14156
2	10967 16071
4	10967 23669
4	10967 13604
2	10967 22122
12	10967 25228
14	10967 358
9	10967 13764
2	10967 12322
4	10967 25501
3	19498 358
2	11470 358
2	11470 6126
2	16401 25034
6	16401 14156
2	16401 13872
2	16401 6468
16	16401 25130
6	16401 25277
2	16401 25151
11	16401 25155
2	16401 16071
8	16401 10011
14	16401 23669
7	16401 17824
2	16401 11619
34	16401 23930
2	16401 7983
14	16401 13604
15	16401 361
7	16401 25181
2	16401 13001
9	16401 16922
2	16401 23770
3	16401 22122
9	16401 23710
5	16401 22327
3	16401 22377
4	16401 25228
10	16401 10268
65	16401 358
7	16401 23725
30	16401 359
3	16401 6106
2	16401 6216
5	16401 13607
22	16401 25517
15	16401 13471
2	16401 18017
2	16401 6505
2	16401 18796
3	16401 8003
4	16401 11763
20	16401 6126
3	16401 23714
2	16401 25032
10	16401 13653
3	16401 14206
24	16401 555
11	16401 13764
9	16401 18090
4	16401 25163
2	16401 25504
2	16401 617
6	16401 23955
3	16401 12133
6	16401 25501
22	16401 23684
5	16401 6365
2	16071 7276
2	16071 25151
2	16071 25130
2	16071 16071
2	16071 13611
4	16071 17824
3	16071 7983
7	16071 13604
3	16071 23770
2	16071 23710
58	16071 358
2	16071 23725
16	16071 359
2	16071 11025
4	16071 13607
3	16071 13471
2	16071 14635
3	16071 25089
10	16071 25032
2	16071 6126
2	16071 8089
2	16071 13653
5	16071 23316
4	16071 14206
2	16071 25504
6	16071 12322
2	16071 25501
2	16071 23684
4	10020 10801
3	10020 18529
7	24560 6126
2	24560 25501
4	19720 24997
2	19720 6126
2	22886 361
12	22886 14206
5	22607 358
2	22607 13764
6	22607 15773
2	7120 20558
3	7120 358
15	17414 14156
18	17414 358
10	17414 359
6	17414 6126
14	17414 17957
3	22749 23704
4	22749 14206
2	22749 13295
17	22749 23684
3	22387 23710
7	22387 358
7	22387 23725
2	22387 12138
